timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1767107498546812200,1.8917955160140991,-11.164923667907715,1653.3967208862305,1389.3568575382233,1690.9375190734863,1369.274504184723,214.0,167.5,1,1,0,0
1767107498611653400,2.178846836090088,-11.056731224060059,1925.4987144470215,1313.2361841201782,1690.9375190734863,1369.274504184723,230.0,155.5,1,1,0,0
1767107498675997900,1.681898593902588,-12.115097045898438,1503.2524108886719,1429.5665609836578,1690.9375190734863,1369.274504184723,206.0,161.5,1,1,0,0
1767107498737337100,1.6444008350372314,-12.17813777923584,1550.650691986084,1432.8828012943268,1690.9375190734863,1369.274504184723,218.0,152.0,1,1,0,0
1767107498817868500,1.6775145530700684,-12.030974388122559,1606.5067291259766,1415.1289808750153,1690.9375190734863,1369.274504184723,207.0,147.0,1,1,0,0
1767107498884382700,0.6052632331848145,-12.061064720153809,1311.196632385254,1441.218205690384,1606.5067291259766,1415.1289808750153,212.0,134.5,1,1,0,0
1767107498946091200,0.22858886420726776,-13.04223918914795,1132.012538909912,1289.553029537201,1606.5067291259766,1369.274504184723,211.0,141.5,1,1,0,0
1767107499099871700,0.8257726430892944,-13.201516151428223,1342.499599456787,1280.0335156917572,1606.5067291259766,1369.274504184723,178.5,124.0,1,1,0,0
1767107499133767000,0.8584936261177063,-12.472579002380371,1444.8533821105957,1320.5390775203705,1444.8533821105957,1369.274504184723,182.5,128.5,1,1,0,0
1767107499157801800,2.0183587074279785,-11.73331356048584,1902.6165962219238,1375.0215339660645,1606.5067291259766,1369.274504184723,191.5,127.0,1,1,0,0
1767107499218775100,2.303760290145874,-10.557331085205078,2177.156867980957,1252.8747975826263,1606.5067291259766,1369.274504184723,212.0,148.5,1,1,0,0
1767107499281409900,1.9336496591567993,-10.308856010437012,2251.904239654541,1121.2026572227478,1606.5067291259766,1369.274504184723,224.0,138.5,1,1,0,0
1767107499346766500,2.2029850482940674,-11.081825256347656,1909.1723442077637,1358.9147293567657,1902.6165962219238,1369.274504184723,212.0,161.0,1,1,0,0
1767107499415305500,1.6774519681930542,-9.655596733093262,1585.15531539917,1172.3636591434479,1606.5067291259766,1358.9147293567657,202.5,149.0,1,1,0,0
1767107499493240300,2.1056268215179443,-9.701610565185547,1744.6587753295898,1249.0679383277893,1744.6587753295898,1358.9147293567657,212.5,147.5,1,1,0,0
1767107499554822400,1.3287261724472046,-10.693440437316895,1443.8328552246094,1472.196432352066,1744.6587753295898,1369.274504184723,208.0,139.0,1,1,0,0
1767107499618463100,2.185228109359741,-11.055554389953613,1912.2232818603516,1448.3973097801208,1744.6587753295898,1358.9147293567657,175.0,139.0,1,1,0,0
1767107499681494900,2.243029832839966,-12.805960655212402,1784.0339469909668,1359.7732400894165,1744.6587753295898,1359.7732400894165,177.0,141.0,1,1,0,0
1767107499746267500,1.717969298362732,-12.736706733703613,1546.109390258789,1256.2362277507782,1744.6587753295898,1359.7732400894165,166.0,110.5,1,1,0,0
1767107499827417800,2.2759902477264404,-13.21512508392334,1882.3147201538086,1171.7532098293304,1744.6587753295898,1358.9147293567657,178.0,125.0,1,1,0,0
1767107499889964700,2.3246965408325195,-13.024776458740234,1948.4884643554688,1146.4401304721832,1744.6587753295898,1358.9147293567657,174.0,119.5,1,1,0,0
1767107499954581300,1.6436108350753784,-13.332917213439941,1872.139663696289,1197.6851391792297,1744.6587753295898,1256.2362277507782,155.0,104.0,1,1,0,0
1767107500017226900,0.9000759720802307,-12.56870174407959,1687.7327728271484,1258.539365530014,1744.6587753295898,1258.539365530014,139.5,84.0,1,1,0,0
1767107500082840900,1.1176849603652954,-12.207632064819336,1619.3902587890625,1322.8051364421844,1744.6587753295898,1322.8051364421844,144.0,115.5,1,1,0,0
1767107500163933100,1.5860264301300049,-11.911377906799316,1961.5307807922363,1391.632958650589,1744.6587753295898,1258.539365530014,212.0,121.0,1,1,0,0
1767107500227038500,1.9334133863449097,-11.767366409301758,1879.1798400878906,1438.8551044464111,1744.6587753295898,1322.8051364421844,227.0,138.5,1,1,0,0
1767107500293167700,1.7698110342025757,-12.270100593566895,1693.8221168518066,1463.6892485618591,1744.6587753295898,1322.8051364421844,230.0,144.0,1,1,0,0
1767107500355309600,2.450711250305176,-12.380932807922363,1996.4255905151367,1408.25239777565,1744.6587753295898,1391.632958650589,224.5,137.5,1,1,0,0
1767107500419567300,2.253974199295044,-10.960092544555664,1788.2231712341309,1499.1784465312958,1744.6587753295898,1408.25239777565,226.5,140.5,1,1,0,0
1767107500580339400,1.5874539613723755,-12.233516693115234,1405.2111911773682,1543.4893226623535,1744.6587753295898,1408.25239777565,205.5,146.5,1,1,0,0
1767107500636425300,0.587107241153717,-12.312161445617676,1227.1992874145508,1435.4434633255005,1744.6587753295898,1408.25239777565,196.0,178.0,1,1,0,0
1767107500691460900,1.6917022466659546,-12.43544864654541,1603.1476593017578,1350.0355982780457,1744.6587753295898,1408.25239777565,207.0,136.0,1,1,0,0
1767107500757498900,2.3452162742614746,-11.218670845031738,2078.5499382019043,1308.3451545238495,1744.6587753295898,1408.25239777565,202.0,147.5,1,1,0,0
1767107500817686700,2.144751787185669,-12.19489574432373,1678.3818626403809,1383.3348262310028,1744.6587753295898,1408.25239777565,187.0,133.5,1,1,0,0
1767107500898396000,1.563225269317627,-12.49456787109375,1671.4726638793945,1315.526865720749,1744.6587753295898,1383.3348262310028,211.5,141.0,1,1,0,0
1767107500964418100,2.0093257427215576,-12.037808418273926,1795.8722305297852,1340.260008573532,1744.6587753295898,1383.3348262310028,205.5,153.0,1,1,0,0
1767107501027233400,1.4366250038146973,-12.341647148132324,1437.1777153015137,1430.7315516471863,1744.6587753295898,1408.25239777565,216.5,143.5,1,1,0,0
1767107501088256100,1.824721097946167,-11.864657402038574,2013.168067932129,1262.6040387153625,1744.6587753295898,1383.3348262310028,206.5,146.5,1,1,0,0
1767107501153187800,2.2545628547668457,-11.851184844970703,1936.431999206543,1289.231003522873,1744.6587753295898,1383.3348262310028,208.0,142.5,1,1,0,0
1767107501234727200,2.0667707920074463,-11.240870475769043,2163.8574028015137,1204.3382835388184,1744.6587753295898,1383.3348262310028,191.5,143.5,1,1,0,0
1767107501300745000,1.5345864295959473,-12.243189811706543,1871.7558288574219,1222.671171426773,1871.7558288574219,1289.231003522873,210.0,136.5,1,1,0,0
1767107501365142300,1.679094672203064,-12.401528358459473,2063.638744354248,1098.3744406700134,1871.7558288574219,1289.231003522873,184.0,128.0,1,1,0,0
1767107501430920400,1.442381501197815,-12.09012222290039,1896.2378311157227,1163.8159203529358,1871.7558288574219,1222.671171426773,161.5,124.0,1,1,0,0
1767107501492953000,1.2455263137817383,-11.7161226272583,1618.39994430542,1356.3206577301025,1871.7558288574219,1289.231003522873,183.5,114.5,1,1,0,0
1767107501571305300,0.7165747880935669,-12.827657699584961,1350.0189685821533,1274.9880874156952,1871.7558288574219,1274.9880874156952,189.0,104.5,1,1,0,0
1767107501635187400,1.4672490358352661,-12.94643497467041,1568.437900543213,1301.6425716876984,1871.7558288574219,1274.9880874156952,167.5,97.0,1,1,0,0
1767107501698897800,1.5062823295593262,-13.273694038391113,1822.4431800842285,1149.696890115738,1822.4431800842285,1274.9880874156952,176.0,63.5,1,1,0,0
1767107501763659400,1.5118134021759033,-12.876809120178223,1761.6640663146973,1169.0293622016907,1822.4431800842285,1274.9880874156952,163.0,111.0,1,1,0,0
1767107501827341800,1.5833327770233154,-12.50617790222168,1861.238136291504,1107.2019124031067,1861.238136291504,1274.9880874156952,167.5,101.5,1,1,0,0
1767107501909284300,1.382064700126648,-12.48823356628418,1915.9404373168945,1061.1746907234192,1822.4431800842285,1169.0293622016907,173.5,116.5,1,1,0,0
1767107501969539800,1.784171462059021,-12.354144096374512,1959.6811294555664,1083.7906694412231,1861.238136291504,1169.0293622016907,172.5,96.5,1,1,0,0
1767107502033272700,1.408973217010498,-12.133721351623535,1673.8249397277832,1156.4539325237274,1861.238136291504,1156.4539325237274,175.5,118.0,1,1,0,0
1767107502100723600,1.2943998575210571,-12.028916358947754,1686.8892288208008,1110.6570053100586,1822.4431800842285,1156.4539325237274,162.0,105.0,1,1,0,0
1767107502163307000,1.4074853658676147,-11.873438835144043,1671.9933128356934,1118.8973951339722,1822.4431800842285,1156.4539325237274,155.5,125.5,1,1,0,0
1767107502243029900,1.403397798538208,-12.31076717376709,1635.9052848815918,1157.6376557350159,1686.8892288208008,1156.4539325237274,160.5,126.5,1,1,0,0
1767107502305756300,1.8030041456222534,-12.518302917480469,1755.72904586792,1122.1069371700287,1755.72904586792,1156.4539325237274,144.5,127.0,1,1,0,0
1767107502371977500,1.8309382200241089,-12.420817375183105,1760.6411361694336,1114.9210739135742,1760.6411361694336,1156.4539325237274,155.5,119.5,1,1,0,0
1767107502433425100,1.8794523477554321,-12.281881332397461,1834.2316818237305,1089.2228186130524,1755.72904586792,1156.4539325237274,169.5,114.5,1,1,0,0
1767107502497775200,1.5780681371688843,-12.155677795410156,1870.462703704834,1077.1747970581055,1760.6411361694336,1122.1069371700287,175.0,112.0,1,1,0,0
